run_id,f,beta,theta_deg,mach_number,seed,bfield_geometry,outcome,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks_max,wall_sec,hgbs_match
TAG_f1p0_b0p5_t0_m1p0_s4,1.0,0.5,0,1.0,4,longitudinal,FRAG_KILL,True,FULL,6.5865,2.4002,1.3039,0.1187,10,200.2,False
TAG_f1p0_b0p5_t0_m1p0_s5,1.0,0.5,0,1.0,5,longitudinal,FRAG_KILL,True,FULL,6.9606,4.1949,1.3471,0.1299,10,250.3,False
TAG_f1p0_b0p5_t0_m1p5_s1,1.0,0.5,0,1.5,1,longitudinal,FRAG_KILL,True,FULL,11.9688,11.8691,1.2743,0.0899,10,230.3,False
TAG_f1p0_b0p5_t0_m1p5_s2,1.0,0.5,0,1.5,2,longitudinal,FRAG_KILL,True,FULL,6.3341,1.3855,1.2926,0.12,9,210.2,False
TAG_f1p0_b0p5_t0_m1p5_s3,1.0,0.5,0,1.5,3,longitudinal,FRAG_KILL,True,FULL,7.9236,4.7341,1.3086,0.1392,9,250.3,False
TAG_f1p0_b0p5_t0_m1p5_s4,1.0,0.5,0,1.5,4,longitudinal,FRAG_KILL,True,FULL,6.7752,2.3905,1.27,0.1101,9,200.2,False
TAG_f1p0_b0p5_t0_m1p5_s5,1.0,0.5,0,1.5,5,longitudinal,FRAG_KILL,True,FULL,8.1399,5.6927,1.3002,0.1288,10,220.2,False
TAG_f1p0_b0p5_t0_m2p0_s1,1.0,0.5,0,2.0,1,longitudinal,FRAG_KILL,True,FULL,12.9896,11.8806,1.2478,0.09,9,230.3,False
TAG_f1p0_b0p5_t0_m2p0_s2,1.0,0.5,0,2.0,2,longitudinal,FRAG_KILL,True,FULL,6.3502,1.5155,1.2678,0.1182,9,200.2,False
TAG_f1p0_b0p5_t0_m2p0_s3,1.0,0.5,0,2.0,3,longitudinal,FRAG_KILL,True,FULL,7.9306,4.7154,1.2756,0.1392,9,220.2,False
TAG_f1p0_b0p5_t0_m2p0_s4,1.0,0.5,0,2.0,4,longitudinal,FRAG_KILL,True,FULL,7.1918,2.6012,1.2376,0.1095,9,200.2,False
TAG_f1p0_b0p5_t0_m2p0_s5,1.0,0.5,0,2.0,5,longitudinal,FRAG_KILL,True,FULL,6.9306,4.0503,1.2837,0.1385,10,260.3,False
TAG_f1p0_b0p5_t0_m2p5_s1,1.0,0.5,0,2.5,1,longitudinal,FRAG_KILL,True,FULL,12.1402,11.6189,1.2338,0.0995,9,250.3,False
TAG_f1p0_b0p5_t0_m2p5_s2,1.0,0.5,0,2.5,2,longitudinal,FRAG_KILL,True,FULL,6.2109,1.2741,1.2726,0.1487,9,270.3,False
TAG_f1p0_b0p5_t0_m2p5_s3,1.0,0.5,0,2.5,3,longitudinal,FRAG_KILL,True,FULL,8.3958,4.7231,1.255,0.1394,9,230.3,False
TAG_f1p0_b0p5_t0_m2p5_s4,1.0,0.5,0,2.5,4,longitudinal,FRAG_KILL,True,FULL,6.5104,2.197,1.2445,0.1395,9,320.4,False
TAG_f1p0_b0p5_t0_m2p5_s5,1.0,0.5,0,2.5,5,longitudinal,FRAG_KILL,True,FULL,6.875,3.9407,1.2629,0.1482,9,260.3,False
TAG_f1p0_b0p5_t0_m3p0_s1,1.0,0.5,0,3.0,1,longitudinal,FRAG_KILL,True,FULL,14.9006,13.1608,1.2119,0.0991,9,250.3,False
TAG_f1p0_b0p5_t0_m3p0_s2,1.0,0.5,0,3.0,2,longitudinal,FRAG_KILL,True,FULL,6.2109,1.4283,1.2505,0.15,9,250.3,False
TAG_f1p0_b0p5_t0_m3p0_s3,1.0,0.5,0,3.0,3,longitudinal,FRAG_KILL,True,FULL,8.5286,4.9226,1.248,0.1483,9,270.3,False
TAG_f1p0_b0p5_t0_m3p0_s4,1.0,0.5,0,3.0,4,longitudinal,FRAG_KILL,True,FULL,7.1658,2.623,1.1934,0.1084,9,190.2,False
TAG_f1p0_b0p5_t0_m3p0_s5,1.0,0.5,0,3.0,5,longitudinal,FRAG_KILL,True,FULL,7.1074,4.3386,1.2247,0.1189,9,200.2,False
TAG_f1p0_b0p5_t90_m1p0_s1,1.0,0.5,90,1.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5791,,0,680.8,False
TAG_f1p0_b0p5_t90_m1p0_s2,1.0,0.5,90,1.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5481,,0,430.5,False
TAG_f1p0_b0p5_t90_m1p0_s3,1.0,0.5,90,1.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5541,,0,410.5,False
TAG_f1p0_b0p5_t90_m1p0_s4,1.0,0.5,90,1.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5511,,0,550.6,False
TAG_f1p0_b0p5_t90_m1p0_s5,1.0,0.5,90,1.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.564,,0,470.5,False
TAG_f1p0_b0p5_t90_m1p5_s1,1.0,0.5,90,1.5,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4962,,0,150.2,False
TAG_f1p0_b0p5_t90_m1p5_s2,1.0,0.5,90,1.5,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4971,,0,160.2,False
TAG_f1p0_b0p5_t90_m1p5_s3,1.0,0.5,90,1.5,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4882,,0,130.1,False
TAG_f1p0_b0p5_t90_m1p5_s4,1.0,0.5,90,1.5,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5392,,0,260.3,False
TAG_f1p0_b0p5_t90_m1p5_s5,1.0,0.5,90,1.5,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.53,,0,380.4,False
TAG_f1p0_b0p5_t90_m2p0_s1,1.0,0.5,90,2.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5631,,0,740.8,False
TAG_f1p0_b0p5_t90_m2p0_s2,1.0,0.5,90,2.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.55,,0,480.5,False
TAG_f1p0_b0p5_t90_m2p0_s3,1.0,0.5,90,2.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.575,,0,550.6,False
TAG_f1p0_b0p5_t90_m2p0_s4,1.0,0.5,90,2.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.557,,0,470.5,False
TAG_f1p0_b0p5_t90_m2p0_s5,1.0,0.5,90,2.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5571,,0,400.4,False
TAG_f1p0_b0p5_t90_m2p5_s1,1.0,0.5,90,2.5,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5611,,0,440.5,False
TAG_f1p0_b0p5_t90_m2p5_s2,1.0,0.5,90,2.5,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5381,,0,340.4,False
TAG_f1p0_b0p5_t90_m2p5_s3,1.0,0.5,90,2.5,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5481,,0,330.4,False
TAG_f1p0_b0p5_t90_m2p5_s4,1.0,0.5,90,2.5,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.497,,0,150.2,False
TAG_f1p0_b0p5_t90_m2p5_s5,1.0,0.5,90,2.5,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.525,,0,210.2,False
TAG_f1p0_b0p5_t90_m3p0_s1,1.0,0.5,90,3.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4953,,0,150.2,False
TAG_f1p0_b0p5_t90_m3p0_s2,1.0,0.5,90,3.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5291,,0,240.3,False
TAG_f1p0_b0p5_t90_m3p0_s3,1.0,0.5,90,3.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.562,,0,510.6,False
TAG_f1p0_b0p5_t90_m3p0_s4,1.0,0.5,90,3.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.56,,0,941.0,False
TAG_f1p0_b0p5_t90_m3p0_s5,1.0,0.5,90,3.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.553,,0,620.7,False
TAG_f1p0_b1p0_t0_m1p0_s1,1.0,1.0,0,1.0,1,longitudinal,FRAG_KILL,True,FULL,5.5104,1.1498,1.1091,0.0895,11,290.3,False
TAG_f1p0_b1p0_t0_m1p0_s2,1.0,1.0,0,1.0,2,longitudinal,FRAG_KILL,True,FULL,6.4397,4.9908,1.141,0.1286,11,440.5,False
TAG_f1p0_b1p0_t0_m1p0_s3,1.0,1.0,0,1.0,3,longitudinal,FRAG_KILL,True,FULL,5.2604,1.203,1.1253,0.1186,10,310.3,False
TAG_f1p0_b1p0_t0_m1p0_s4,1.0,1.0,0,1.0,4,longitudinal,FRAG_KILL,True,FULL,5.013,0.0977,1.1011,0.1088,11,260.3,False
TAG_f1p0_b1p0_t0_m1p0_s5,1.0,1.0,0,1.0,5,longitudinal,FRAG_KILL,True,FULL,6.6332,4.9462,1.145,0.1287,11,540.6,False
TAG_f1p0_b1p0_t0_m1p5_s1,1.0,1.0,0,1.5,1,longitudinal,FRAG_KILL,True,FULL,5.7448,1.2132,1.0838,0.0895,11,300.3,False
