idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
132,RCE_f1.3_b2.0_m2.0_p0.5_s3,TIMEOUT,1.3,2.0,2.0,0.5,3,,1,7206,TIMEOUT,,,False,True
133,RCE_f1.3_b2.0_m3.0_p0.0_s1,TIMEOUT,1.3,2.0,3.0,0.0,1,,1,7206,TIMEOUT,,,False,True
134,RCE_f1.3_b2.0_m3.0_p0.0_s2,TIMEOUT,1.3,2.0,3.0,0.0,2,,1,7206,TIMEOUT,,,False,True
135,RCE_f1.3_b2.0_m3.0_p0.0_s3,TIMEOUT,1.3,2.0,3.0,0.0,3,,1,7206,TIMEOUT,,,False,True
136,RCE_f1.3_b2.0_m3.0_p0.1_s1,TIMEOUT,1.3,2.0,3.0,0.1,1,,1,7206,TIMEOUT,,,False,True
137,RCE_f1.3_b2.0_m3.0_p0.1_s2,TIMEOUT,1.3,2.0,3.0,0.1,2,,1,7206,TIMEOUT,,,False,True
138,RCE_f1.3_b2.0_m3.0_p0.1_s3,TIMEOUT,1.3,2.0,3.0,0.1,3,,1,7206,TIMEOUT,,,False,True
139,RCE_f1.3_b2.0_m3.0_p0.3_s1,TIMEOUT,1.3,2.0,3.0,0.3,1,,1,7206,TIMEOUT,,,False,True
140,RCE_f1.4_b0.5_m2.0_p0.0_s2,FULL,1.4,0.5,2.0,0.0,2,,1,271,DT_COLLAPSE,0.08,,True,False
141,RCE_f1.3_b2.0_m3.0_p0.3_s2,TIMEOUT,1.3,2.0,3.0,0.3,2,,1,7206,TIMEOUT,,,False,True
142,RCE_f1.3_b2.0_m3.0_p0.3_s3,TIMEOUT,1.3,2.0,3.0,0.3,3,,1,7206,TIMEOUT,,,False,True
143,RCE_f1.4_b0.5_m2.0_p0.0_s1,FULL,1.4,0.5,2.0,0.0,1,,1,1142,GRAV_FRAG,0.085,,True,False
144,RCE_f1.4_b0.5_m2.0_p0.1_s2,FULL,1.4,0.5,2.0,0.1,2,,1,271,DT_COLLAPSE,0.08,,True,False
145,RCE_f1.4_b0.5_m2.0_p0.1_s1,FULL,1.4,0.5,2.0,0.1,1,,1,1112,GRAV_FRAG,0.085,,True,False
146,RCE_f1.4_b0.5_m2.0_p0.0_s3,FULL,1.4,0.5,2.0,0.0,3,,1,1382,GRAV_FRAG,0.085,,True,False
147,RCE_f1.4_b0.5_m2.0_p0.3_s2,FULL,1.4,0.5,2.0,0.3,2,,1,241,DT_COLLAPSE,0.08,,True,False
148,RCE_f1.4_b0.5_m2.0_p0.3_s1,FULL,1.4,0.5,2.0,0.3,1,,1,1142,GRAV_FRAG,0.085,,True,False
149,RCE_f1.4_b0.5_m2.0_p0.1_s3,FULL,1.4,0.5,2.0,0.1,3,,1,1352,GRAV_FRAG,0.085,,True,False
150,RCE_f1.4_b0.5_m2.0_p0.5_s2,FULL,1.4,0.5,2.0,0.5,2,,1,241,DT_COLLAPSE,0.08,,True,False
151,RCE_f1.4_b0.5_m2.0_p0.5_s1,FULL,1.4,0.5,2.0,0.5,1,,1,1082,GRAV_FRAG,0.085,,True,False
152,RCE_f1.4_b0.5_m2.0_p0.3_s3,FULL,1.4,0.5,2.0,0.3,3,,1,1382,GRAV_FRAG,0.085,,True,False
153,RCE_f1.4_b0.5_m3.0_p0.0_s2,FULL,1.4,0.5,3.0,0.0,2,,1,331,DT_COLLAPSE,0.075,,True,False
154,RCE_f1.4_b0.5_m3.0_p0.0_s3,FULL,1.4,0.5,3.0,0.0,3,,1,391,DT_COLLAPSE,0.075,,True,False
155,RCE_f1.4_b0.5_m3.0_p0.0_s1,FULL,1.4,0.5,3.0,0.0,1,,1,1232,GRAV_FRAG,0.08,,True,False
156,RCE_f1.4_b0.5_m2.0_p0.5_s3,FULL,1.4,0.5,2.0,0.5,3,,1,1352,GRAV_FRAG,0.085,,True,False
157,RCE_f1.4_b0.5_m3.0_p0.1_s2,FULL,1.4,0.5,3.0,0.1,2,,1,331,DT_COLLAPSE,0.075,,True,False
