run_id,tag,f,beta,mturb,theta,seed,status,runtime_s,lW,lW_status,t_frag,morphology,tau_peak_max,tau_peak_mean,survives_0p1,n_peaks_final,n_peak_events,peak_analysis_status,n_athdf_purged,returncode
RTC_NC_f1p2_b1p0_m3p0_t0_s2,NC,1.2,1.0,3.0,0,2,failed,7204.1208753585815,7.447916666666667,ok:5_peaks,0.30000025033950806,FULL,0.22950366139411926,0.08974509899105344,True,5,7,ok,31,-9
RTC_NC_f1p2_b2p0_m3p0_t0_s3,NC,1.2,2.0,3.0,0,3,failed,4521.69601893425,,no_athdf,0.340001,RADIAL_COLLAPSE,0.269966185092926,0.14483340457081795,True,4,6,ok,35,-2
RTC_NC_f1p0_b0p3_m3p5_t0_s2,NC,1.0,0.3,3.5,0,2,failed,482.29614639282227,,no_athdf,0.266005,RADIAL_COLLAPSE,0.19917721673846245,0.08632251806557178,True,5,6,ok,27,-2
RTC_NC_f1p0_b0p3_m3p5_t0_s1,NC,1.0,0.3,3.5,0,1,failed,2366.2090125083923,,no_athdf,0.304001,RADIAL_COLLAPSE,0.20927615463733673,0.08422742677586419,True,4,7,ok,31,-2
RTC_NC_f1p0_b0p3_m3p5_t0_s4,NC,1.0,0.3,3.5,0,4,failed,150.74203729629517,,no_athdf,0.29215,RADIAL_COLLAPSE,0.21922948956489563,0.12576182186603546,True,3,5,ok,30,-2
RTC_NC_f1p0_b0p3_m3p5_t0_s5,NC,1.0,0.3,3.5,0,5,failed,211.0054371356964,,no_athdf,0.27103,RADIAL_COLLAPSE,0.20942086726427078,0.12169781774282455,True,3,5,ok,28,-2
RTC_NC_f1p0_b0p3_m3p5_t0_s6,NC,1.0,0.3,3.5,0,6,failed,1040.0745401382446,,no_athdf,0.306,RADIAL_COLLAPSE,0.20990297943353653,0.16467811353504658,True,4,4,ok,31,-2
RTC_NC_f1p2_b2p0_m3p0_t0_s2,NC,1.2,2.0,3.0,0,2,failed,7204.572608470917,7.239583333333334,ok:5_peaks,0.31000056862831116,FULL,0.239471934735775,0.0969704847250666,True,5,7,ok,32,-9
RTC_NC_f1p2_b2p0_m3p0_t0_s4,NC,1.2,2.0,3.0,0,4,failed,7204.516330003738,7.1875,ok:3_peaks,0.3300006091594696,FULL,0.24872290343046188,0.14367340207099916,True,3,5,ok,34,-9
RTC_NC_f1p0_b0p5_m3p5_t0_s1,NC,1.0,0.5,3.5,0,1,failed,1296.3024468421936,,no_athdf,0.308005,RADIAL_COLLAPSE,0.20956578850746155,0.08398518817765373,True,4,7,ok,31,-2
RTC_NC_f1p2_b2p0_m3p0_t0_s5,NC,1.2,2.0,3.0,0,5,failed,7204.359770536423,18.802083333333336,ok:3_peaks,0.30000075697898865,FULL,0.22970253974199295,0.13366172164678575,True,3,5,ok,31,-9
RTC_NC_f1p0_b0p5_m3p5_t0_s4,NC,1.0,0.5,3.5,0,4,failed,135.67276883125305,,no_athdf,0.286143,RADIAL_COLLAPSE,0.20979470759630203,0.1496102772653103,True,3,4,ok,29,-2
RTC_NC_f1p0_b0p5_m3p5_t0_s2,NC,1.0,0.5,3.5,0,2,failed,1281.0232348442078,,no_athdf,0.265004,RADIAL_COLLAPSE,0.19939521327614784,0.08649482391774654,True,5,6,ok,27,-2
RTC_NC_f1p0_b0p5_m3p5_t0_s5,NC,1.0,0.5,3.5,0,5,failed,211.01384329795837,,no_athdf,0.269004,RADIAL_COLLAPSE,0.19978056102991104,0.11393719762563706,True,4,5,ok,27,-2
RTC_NC_f1p0_b1p0_m3p5_t0_s2,NC,1.0,1.0,3.5,0,2,failed,150.737872838974,,no_athdf,0.255194,RADIAL_COLLAPSE,0.18968486040830612,0.0799240047732989,True,4,6,ok,26,-2
RTC_NC_f1p0_b1p0_m3p5_t0_s1,NC,1.0,1.0,3.5,0,1,failed,316.52268171310425,,no_athdf,0.303,RADIAL_COLLAPSE,0.20988547801971436,0.08269161624567849,True,4,7,ok,31,-2
RTC_NC_f1p0_b1p0_m3p5_t0_s4,NC,1.0,1.0,3.5,0,4,failed,195.96037483215332,,no_athdf,0.295027,RADIAL_COLLAPSE,0.21934757381677628,0.12569379210472106,True,3,5,ok,30,-2
RTC_NC_f1p0_b1p0_m3p5_t0_s5,NC,1.0,1.0,3.5,0,5,failed,286.40062069892883,,no_athdf,0.269029,RADIAL_COLLAPSE,0.19993438571691513,0.11372866481542587,True,4,5,ok,27,-2
